Fecha,Balota 1,Balota 2,Balota 3,Balota 4,Balota 5,SuperBalota
1/5/2021,1,16,34,41,43,2
5/5/2021,3,15,17,29,32,16
8/5/2021,5,10,24,29,41,11
12/5/2021,4,6,8,9,16,5
15/5/2021,17,26,31,35,38,10
19/5/2021,13,20,29,39,40,16
22/5/2021,2,9,13,35,39,12
26/5/2021,5,16,31,32,33,14
29/5/2021,1,8,18,29,40,2
2/6/2021,3,5,22,26,35,3
5/6/2021,1,9,10,13,27,8
9/6/2021,6,7,26,27,41,15
12/6/2021,18,19,25,26,43,9
16/6/2021,2,6,28,34,38,11
19/6/2021,5,8,14,26,33,3
23/6/2021,15,16,17,39,41,9
26/6/2021,4,14,31,32,43,16
30/6/2021,23,28,35,37,38,15
3/7/2021,1,9,13,22,29,14
7/7/2021,5,17,21,26,31,7
10/7/2021,3,5,25,27,36,14
14/7/2021,20,24,27,29,36,1
17/7/2021,15,16,24,26,40,9
21/7/2021,3,7,23,35,36,10
24/7/2021,3,13,16,36,40,5
28/7/2021,8,19,28,36,40,14
31/7/2021,2,9,17,24,25,8
4/8/2021,1,8,19,29,40,7
7/8/2021,1,6,21,34,40,7
11/8/2021,3,11,22,27,39,2
14/8/2021,15,21,31,32,33,6
18/8/2021,6,9,19,37,39,15
21/8/2021,8,13,22,24,30,10
25/8/2021,3,7,9,17,39,8
28/8/2021,3,20,27,40,43,1
1/9/2021,7,12,20,23,32,1
4/9/2021,8,15,30,36,41,14
8/9/2021,11,19,28,32,36,6
11/9/2021,7,12,27,35,41,8
15/9/2021,4,22,28,35,37,16
18/9/2021,12,24,34,37,40,8
22/9/2021,8,23,27,33,42,9
25/9/2021,6,7,23,36,43,10
29/9/2021,4,9,13,18,25,9
2/10/2021,19,30,38,39,41,1
6/10/2021,10,20,25,30,36,16
9/10/2021,4,8,12,27,41,6
13/10/2021,2,10,15,22,25,6
16/10/2021,6,10,25,26,27,6
20/10/2021,13,14,18,21,39,13
23/10/2021,1,12,18,19,23,7
27/10/2021,6,9,16,17,26,6
30/10/2021,12,19,31,42,43,2
3/11/2021,4,12,35,39,43,14
6/11/2021,3,19,26,32,43,11
10/11/2021,5,7,23,34,43,11
13/11/2021,11,12,28,29,32,13
17/11/2021,1,11,22,32,33,12
20/11/2021,1,4,12,13,33,13
24/11/2021,4,7,19,33,39,8
27/11/2021,6,20,24,30,40,16
1/12/2021,9,11,15,20,35,2
4/12/2021,25,27,31,42,43,14
8/12/2021,9,25,33,35,40,7
11/12/2021,9,16,19,29,39,1
15/12/2021,7,25,34,42,43,2
18/12/2021,3,16,22,26,40,12
22/12/2021,5,20,35,38,43,2
25/12/2021,14,15,26,28,40,14
29/12/2021,13,17,24,26,28,4
1/1/2022,2,8,21,38,43,7
5/1/2022,20,21,38,40,43,5
8/1/2022,9,16,18,21,27,5
12/1/2022,2,12,17,30,32,1
15/1/2022,1,5,9,21,24,10
19/1/2022,22,24,34,38,43,6
22/1/2022,12,14,35,38,40,1
26/1/2022,22,24,31,33,34,13
29/1/2022,18,24,29,40,41,4
2/2/2022,3,14,15,19,31,7
5/2/2022,2,11,12,24,43,12
9/2/2022,2,3,8,15,33,6
12/2/2022,1,12,13,33,36,3
16/2/2022,5,8,9,21,42,8
19/2/2022,7,17,33,35,41,9
23/2/2022,17,20,23,32,40,2
26/2/2022,29,32,33,39,43,1
2/3/2022,3,4,9,19,26,15
5/3/2022,5,12,18,21,22,2
9/3/2022,7,9,21,32,35,7
12/3/2022,2,3,7,24,34,3
16/3/2022,2,13,16,34,38,16
19/3/2022,23,28,31,33,38,4
23/3/2022,16,18,28,30,34,1
26/3/2022,5,19,24,34,39,13
27/3/2022,7,9,10,11,29,13
30/3/2022,22,29,30,33,40,3
2/4/2022,13,28,33,37,43,14
6/4/2022,4,14,28,32,35,15
9/4/2022,1,15,27,30,43,3
13/4/2022,7,10,13,28,31,2
16/4/2022,13,14,27,28,39,13
20/4/2022,5,12,18,32,36,12
23/4/2022,3,23,29,30,38,3
27/4/2022,6,7,15,17,31,12
30/4/2022,12,19,24,34,35,10
4/5/2022,3,10,11,19,41,14
7/5/2022,2,6,11,19,22,16
11/5/2022,5,11,22,23,24,15
14/5/2022,4,12,14,28,38,10
18/5/2022,22,23,28,32,38,5
21/5/2022,23,26,27,31,42,4
25/5/2022,1,8,21,28,36,5
28/5/2022,6,29,33,40,42,12
1/6/2022,10,17,18,25,28,16
4/6/2022,3,7,10,26,31,8
8/6/2022,12,22,28,42,43,9
11/6/2022,1,6,16,31,37,13
15/6/2022,14,16,27,34,41,14
18/6/2022,3,7,15,19,43,1
22/6/2022,5,14,20,30,31,8
25/6/2022,2,10,15,22,25,3
29/6/2022,8,11,12,29,41,14
2/7/2022,2,9,16,31,34,5
6/7/2022,22,31,35,40,42,2
9/7/2022,4,15,27,30,35,7
13/7/2022,6,12,13,15,38,16
16/7/2022,3,4,6,18,36,15
20/7/2022,7,8,13,18,37,12
23/7/2022,20,30,31,33,39,10
30/7/2022,16,17,22,26,36,15
3/8/2022,6,28,33,34,38,12
6/8/2022,4,8,17,39,40,14
10/8/2022,13,14,15,33,40,16
13/8/2022,1,8,10,22,25,4
17/8/2022,3,7,20,31,35,7
20/8/2022,1,6,34,37,39,4
24/8/2022,2,6,24,32,40,5
27/8/2022,1,26,27,35,43,11
31/8/2022,4,12,17,19,42,14
3/9/2022,4,9,26,33,41,3
7/9/2022,1,12,15,22,33,16
10/9/2022,12,18,32,34,43,4
14/9/2022,6,8,20,34,41,8
17/9/2022,9,10,18,29,32,4
21/9/2022,3,6,7,26,42,11
24/9/2022,11,16,32,34,37,5
28/9/2022,6,17,36,37,38,11
1/10/2022,3,5,15,22,42,2
5/10/2022,5,16,23,34,43,16
8/10/2022,10,17,31,36,41,14
12/10/2022,12,24,33,34,36,3
15/10/2022,3,14,35,36,37,8
19/10/2022,1,7,20,36,39,14
22/10/2022,2,5,14,30,36,12
26/10/2022,18,32,33,40,41,10
29/10/2022,5,9,11,20,30,4
2/11/2022,5,15,19,33,43,8
5/11/2022,1,8,17,20,30,9
9/11/2022,2,7,12,26,43,4
12/11/2022,6,21,26,39,41,15
16/11/2022,5,9,16,25,26,10
19/11/2022,4,24,25,26,43,3
23/11/2022,6,11,18,28,43,4
26/11/2022,8,20,21,29,38,11
30/11/2022,6,12,15,16,35,3
3/12/2022,5,11,12,13,34,3
7/12/2022,5,17,21,24,28,10
10/12/2022,4,7,21,22,36,10
14/12/2022,14,18,24,36,42,2
17/12/2022,21,26,34,37,42,16
21/12/2022,31,33,37,40,41,16
24/12/2022,16,26,27,36,42,11
28/12/2022,1,4,9,23,24,13
31/12/2022,14,25,32,33,39,12
4/1/2023,1,12,14,32,33,8
7/1/2023,11,17,33,34,40,9
11/1/2023,17,21,22,27,29,9
14/1/2023,4,8,21,36,43,8
18/1/2023,8,9,33,35,42,13
21/1/2023,6,11,13,16,42,12
25/1/2023,17,20,26,33,38,1
28/1/2023,8,18,27,40,42,8
1/2/2023,8,12,23,37,38,16
4/2/2023,5,6,18,26,42,9
8/2/2023,9,21,23,28,38,12
11/2/2023,7,20,25,26,30,11
15/2/2023,1,19,35,36,39,8
18/2/2023,5,7,10,13,31,14
22/2/2023,10,16,26,32,35,14
25/2/2023,20,26,39,37,38,12
1/3/2023,1,12,38,39,41,16
4/3/2023,1,5,11,28,31,15
8/3/2023,23,30,36,37,40,11
11/3/2023,3,7,24,33,40,14
15/3/2023,3,7,16,33,34,3
18/3/2023,1,5,9,19,31,13
22/3/2023,2,20,23,27,37,8
25/3/2023,7,8,16,19,30,5
29/3/2023,14,16,24,29,30,3
1/4/2023,20,24,27,33,40,12
5/4/2023,4,5,18,22,29,2
8/4/2023,10,27,32,40,42,14
12/4/2023,4,17,19,23,32,9
15/4/2023,5,26,33,37,43,4
19/4/2023,3,13,21,37,43,13
22/4/2023,3,12,15,28,40,1
26/4/2023,2,16,25,35,39,11
29/4/2023,3,14,39,34,39,12
3/5/2023,1,3,24,30,38,10
6/5/2023,4,10,17,23,32,2
10/5/2023,5,18,31,33,35,10
13/5/2023,18,30,33,34,37,8
17/5/2023,1,3,11,26,36,2
20/5/2023,3,7,20,25,33,1
24/5/2023,5,13,16,32,35,4
27/5/2023,5,8,9,24,41,7
31/5/2023,3,6,13,16,25,4
3/6/2023,4,8,12,20,30,16
7/6/2023,11,29,36,39,43,13
10/6/2023,12,26,36,40,42,12
14/6/2023,26,28,31,34,41,14
17/6/2023,2,3,13,20,30,3
21/6/2023,5,7,12,29,37,9
24/6/2023,4,19,23,30,42,1
28/6/2023,5,10,25,27,43,12
1/7/2023,4,12,19,34,38,13
5/7/2023,15,18,21,31,41,12
8/7/2023,16,17,28,30,38,6
12/7/2023,27,36,39,42,43,11
15/7/2023,15,16,25,36,41,2
19/7/2023,3,21,23,32,33,9
22/7/2023,2,4,24,31,40,15
26/7/2023,6,20,27,29,43,9
29/7/2023,14,20,25,29,30,9
2/8/2023,19,24,26,36,37,5
5/8/2023,6,18,27,40,42,7
9/8/2023,2,16,20,31,33,4
12/8/2023,13,18,26,37,39,1
16/8/2023,13,17,27,28,42,3
19/8/2023,2,3,4,5,20,3
23/8/2023,8,10,16,19,37,12
26/8/2023,1,10,14,17,34,7
30/8/2023,6,15,16,18,37,9
2/9/2023,14,16,21,27,29,5
6/9/2023,17,27,38,41,43,5
9/9/2023,16,31,33,36,38,5
13/9/2023,3,21,34,36,39,15
16/9/2023,8,33,39,41,42,1
20/9/2023,8,9,30,37,40,10
23/9/2023,3,13,20,30,35,14
27/9/2023,13,14,23,25,40,11
